year0,orig,dest,sd_drop_neg,sd_rev_neg,mig_rate,da_min_open,da_min_closed,da_pb_closed
1990,BDI,BDI,0,0,0,0,0,0
1990,COM,BDI,0,0,0,0,0,0.01
1990,DJI,BDI,0,0,0,0,0,0
1990,ERI,BDI,0,0,0,0,0,53.61
1990,ETH,BDI,0,0,0,0,0,0
1990,KEN,BDI,30,30,79.53,40.18,1737.91,1598.39
1990,MDG,BDI,0,0,0,0.02,0,0
1990,MWI,BDI,0,0,0,0,0,74.33
1990,MUS,BDI,0,0,0,0.08,0,0
1990,MYT,BDI,0,0,0,0,0,0
1990,MOZ,BDI,0,0,0,0,0,62.62
1990,REU,BDI,0,0,0,0,0,0.03
1990,RWA,BDI,0,0,94900.26,0,0,21896.01
1990,SYC,BDI,0,0,0,0.01,0,0
1990,SOM,BDI,0,0,0,0,0,0
1990,UGA,BDI,0,0,783.77,0,414.45,8181.83
1990,TZA,BDI,0,0,5093.43,0,408.97,30782.48
1990,ZMB,BDI,0,0,0,0.07,0,6.42
1990,ZWE,BDI,0,0,0,0,0,0
1990,AGO,BDI,0,0,0,0,0,1.68
1990,CMR,BDI,0,0,0,0,0,0.01
1990,CAF,BDI,0,0,0,0,0,2.16
1990,TCD,BDI,0,0,0,0,0,0.02
1990,COG,BDI,0,0,0,0.15,0,12.15
1990,COD,BDI,4793,4793,15672.83,7534.84,0,5417.75
1990,GNQ,BDI,0,0,0,0,0,0
1990,GAB,BDI,0,0,0,0,0,5.79
1990,STP,BDI,0,0,0,0,0,0
1990,DZA,BDI,0,0,0,0.05,0,0
1990,EGY,BDI,0,0,0,0,0,1.27
1990,LBY,BDI,0,0,0,1.64,0,0.09
1990,MAR,BDI,0,0,0,0.14,0,0.02
1990,SUD,BDI,0,0,0,48.69,0,3.5
1990,TUN,BDI,0,0,0,0,0,0
1990,ESH,BDI,0,0,0,0,0,0
1990,BWA,BDI,0,0,0,0,0,0.11
1990,SWZ,BDI,0,0,0,0,0,0.71
1990,LSO,BDI,0,0,0,0,1.47,1.29
1990,NAM,BDI,0,26,0,4.11,0,46.92
1990,ZAF,BDI,0,0,0,1.95,14.96,14.93
1990,BEN,BDI,0,0,0,0,0,0
1990,BFA,BDI,0,0,0,0,0,0
1990,CPV,BDI,0,0,0,0,0,0
1990,CIV,BDI,0,0,0,0,0,0
1990,GMB,BDI,0,0,0,0,0,0
1990,GHA,BDI,0,0,0,0,0.1,1.14
1990,GIN,BDI,0,0,0,0,0,0.01
1990,GNB,BDI,0,0,0,0,0,0
1990,LBR,BDI,0,0,0,0,0,0
1990,MLI,BDI,0,0,0,0,0,0
1990,MRT,BDI,0,0,0,0,0,0.01
1990,NER,BDI,0,0,0,0,0,0
1990,NGA,BDI,0,0,0,0,0,0
1990,SHN,BDI,0,0,0,0,0,0
1990,SEN,BDI,0,0,0,0,0,0.02
1990,SLE,BDI,0,0,0,0,0,0
1990,TGO,BDI,0,0,0,0.01,0,2.88
1990,KAZ,BDI,0,0,0,0,0,0
1990,KGZ,BDI,0,0,0,0,0,0
1990,TJK,BDI,0,0,0,0,0,0
1990,TKM,BDI,0,0,0,0,0,0
1990,UZB,BDI,0,0,0,0,0,0
1990,CHN,BDI,0,0,0,0,0,11.38
1990,HKG,BDI,0,0,0,0,0,0
1990,MAC,BDI,0,0,0,0,0,0
1990,TWN,BDI,0,0,0,0,0,0
1990,PRK,BDI,0,0,0,0,0,0
1990,JPN,BDI,0,0,0,0,0,0.01
1990,MNG,BDI,0,0,0,0,0,0
1990,KOR,BDI,0,0,0,0,0,0
1990,BRN,BDI,0,0,0,0,0,0
1990,KHM,BDI,0,0,0,0,0,0
1990,IDN,BDI,0,0,0,0,0,0
1990,LAO,BDI,0,0,0,0,0,0
1990,MYS,BDI,0,0,0,0,0,0
1990,MMR,BDI,0,0,0,0,0,0
1990,PHL,BDI,0,0,0,0,0,0
1990,SGP,BDI,0,0,0,0,0,0
1990,THA,BDI,0,0,0,0,0,0
1990,TLS,BDI,0,0,0,0,0,0
1990,VNM,BDI,0,0,0,0,0,0
1990,AFG,BDI,0,0,0,0,0,0
1990,BGD,BDI,0,0,0,0,0,0
1990,BTN,BDI,0,0,0,0,0,0
1990,IND,BDI,0,0,0,2.68,0,0.03
1990,IRN,BDI,0,0,0,0,0,0
1990,MDV,BDI,0,0,0,0,0,0
1990,NPL,BDI,0,0,0,0,0,0
1990,PAK,BDI,0,0,0,0,0,0
1990,LKA,BDI,0,0,0,0,0,0
1990,ARM,BDI,0,0,0,0,0,0
1990,AZE,BDI,0,0,0,0,0,0
1990,BHR,BDI,0,0,0,0,0,0
1990,CYP,BDI,0,0,0,0,0,0.11
1990,GEO,BDI,0,0,0,0,0,0
1990,IRQ,BDI,0,0,0,0,0,0
1990,ISR,BDI,0,0,0,0,0,0.05
1990,JOR,BDI,0,0,0,0,0,0
1990,KWT,BDI,0,0,0,0,0,0
1990,LBN,BDI,0,0,0,0,0,0
1990,OMN,BDI,0,0,0,0,0,0.17
1990,QAT,BDI,0,0,0,0,0,0
1990,SAU,BDI,0,0,0,0,0,0
