origin_iso,origin_name,origin_flag,originregion_name
AFG,Afghanistan,🇦🇫,South Asia
ALB,Albania,🇦🇱,Europe
DZA,Algeria,🇩🇿,Africa
ASM,American Samoa,,none
AND,Andorra,🇦🇩,none
AGO,Angola,🇦🇴,Africa
AIA,Anguilla,🇦🇮,none
ATA,Antarctica,🇦🇶,none
ATG,Antigua and Barbuda,🇦🇬,none
ARG,Argentina,🇦🇷,Latin America
ARM,Armenia,🇦🇲,Fmr Soviet Union
ABW,Aruba,🇦🇼,Latin America
AUS,Australia,🇦🇺,Oceania
AUT,Austria,🇦🇹,Europe
AZE,Azerbaijan,🇦🇿,Fmr Soviet Union
BHS,Bahamas,🇧🇸,Latin America
BHR,Bahrain,🇧🇭,West Asia
BGD,Bangladesh,🇧🇩,South Asia
BRB,Barbados,🇧🇧,Latin America
BLR,Belarus,🇧🇾,Fmr Soviet Union
BEL,Belgium,🇧🇪,Europe
BLZ,Belize,🇧🇿,Latin America
BEN,Benin,🇧🇯,Africa
BMU,Bermuda,🇧🇲,none
BTN,Bhutan,🇧🇹,South Asia
BOL,Bolivia,🇧🇴,Latin America
BOL,Bolivia (Plurinational State of),🇧🇴,Latin America
BES,"Bonaire, Sint Eustatius and Saba",🇧🇶‍,none
BIH,Bosnia and Herzegovina,🇧🇦,Europe
BWA,Botswana,🇧🇼,Africa
BVT,Bouvet Island,🇧🇻,none
BRA,Brazil,🇧🇷,Latin America
IOT,British Indian Ocean Territory,🇮🇴,none
BRN,Brunei Darussalam,🇧🇳,South-East Asia
BGR,Bulgaria,🇧🇬,Europe
BFA,Burkina Faso,🇧🇫,Africa
BDI,Burundi,🇧🇮,Africa
CPV,Cabo Verde,🇨🇻,Africa
KHM,Cambodia,🇰🇭,South-East Asia
CMR,Cameroon,🇨🇲,Africa
CAN,Canada,🇨🇦,North America
CYM,Cayman Islands,🇰🇾,none
CAF,Central African Republic,🇨🇫,Africa
TCD,Chad,🇹🇩,Africa
CHL,Chile,🇨🇱,Latin America
CHI,Chile,🇨🇱,Latin America
CHN,China,🇨🇳,East Asia
CXR,Christmas Island,🇨🇽,none
CCK,Cocos (Keeling Islands),🇨🇨,none
COL,Colombia,🇨🇴,Latin America
COM,Comoros,🇰🇲,Africa
COD,Democratic Republic of the Congo,🇨🇩,Africa
COG,Congo,🇨🇬,Africa
COK,Cook Islands,🇨🇰,none
CRI,Costa Rica,🇨🇷,Latin America
HRV,Croatia,🇭🇷,Europe
CUB,Cuba,🇨🇺,Latin America
CUW,Curaçao,🇨🇼,none
CYP,Cyprus,🇨🇾,West Asia
CZE,Czechia,🇨🇿,Europe
CIV,Côte d`Ivoire,🇨🇮,Africa
CIV,Cote d'Ivoire,🇨🇮,Africa
DNK,Denmark,🇩🇰,Europe
DJI,Djibouti,🇩🇯,Africa
DMA,Dominica,🇩🇲,none
DOM,Dominican Republic,🇩🇴,Latin America
ECU,Ecuador,🇪🇨,Latin America
EGY,Egypt,🇪🇬,Africa
SLV,El Salvador,🇸🇻,Latin America
GNQ,Equatorial Guinea,🇬🇶,Africa
ERI,Eritrea,🇪🇷,Africa
EST,Estonia,🇪🇪,Fmr Soviet Union
SWZ,Eswatini,🇸🇿,Africa
ETH,Ethiopia,🇪🇹,Africa
FLK,Falkland Islands,🇫🇰,none
FLK,Falkland Islands (Malvinas),🇫🇰,none
FRO,Faroe Islands,🇫🇴,none
FJI,Fiji,🇫🇯,Oceania
FIN,Finland,🇫🇮,Europe
FRA,France,🇫🇷,Europe
GUF,French Guiana,🇬🇫,Latin America
PYF,French Polynesia,🇵🇫,Oceania
ATF,French Southern Territories,🇹🇫,none
GAB,Gabon,🇬🇦,Africa
GMB,Gambia,🇬🇲,Africa
GEO,Georgia,🇬🇪,Fmr Soviet Union
DEU,Germany,🇩🇪,Europe
GHA,Ghana,🇬🇭,Africa
GIB,Gibraltar,🇬🇮,none
GRC,Greece,🇬🇷,Europe
GRL,Greenland,🇬🇱,none
GRD,Grenada,🇬🇩,Latin America
GLP,Guadeloupe,🇬🇵,Latin America
GUM,Guam,🇬🇺,Oceania
GTM,Guatemala,🇬🇹,Latin America
GGY,Guernsey,🇬🇬,none
GIN,Guinea,🇬🇳,Africa
GNB,Guinea-Bissau,🇬🇼,Africa
GUY,Guyana,🇬🇾,Latin America
HTI,Haiti,🇭🇹,Latin America
HMD,Heard Island and McDonald Islands,🇭🇲,none
VAT,Holy See,🇻🇦,none
HND,Honduras,🇭🇳,Latin America
