"","origin_iso","originregion_name","origin_name"
"1","ABW","Latin America","Aruba"
"2","AFG","South Asia","Afghanistan"
"3","AGO","Africa","Angola"
"4","ALB","Europe","Albania"
"5","ARE","West Asia","United Arab Emirates"
"6","ARG","Latin America","Argentina"
"7","ARM","Fmr Soviet Union","Armenia"
"8","AUS","Oceania","Australia"
"9","AUT","Europe","Austria"
"10","AZE","Fmr Soviet Union","Azerbaijan"
"11","BDI","Africa","Burundi"
"12","BEL","Europe","Belgium"
"13","BEN","Africa","Benin"
"14","BFA","Africa","Burkina Faso"
"15","BGD","South Asia","Bangladesh"
"16","BGR","Europe","Bulgaria"
"17","BHR","West Asia","Bahrain"
"18","BHS","Latin America","Bahamas"
"19","BIH","Europe","Bosnia & Herzegovina"
"20","BLR","Fmr Soviet Union","Belarus"
"21","BLZ","Latin America","Belize"
"22","BOL","Latin America","Bolivia"
"23","BRA","Latin America","Brazil"
"24","BRB","Latin America","Barbados"
"25","BRN","South-East Asia","Brunei"
"26","BTN","South Asia","Bhutan"
"27","BWA","Africa","Botswana"
"28","CAF","Africa","Central African Republic"
"29","CAN","North America","Canada"
"30","CHE","Europe","Switzerland"
"31","CHI","Europe","Channel Islands"
"32","CHL","Latin America","Chile"
"33","CHN","East Asia","China"
"34","CIV","Africa","Ivory Coast"
"35","CMR","Africa","Cameroon"
"36","COD","Africa","DR Congo"
"37","COG","Africa","Congo"
"38","COL","Latin America","Colombia"
"39","COM","Africa","Comoros"
"40","CPV","Africa","Cape Verde"
"41","CRI","Latin America","Costa Rica"
"42","CUB","Latin America","Cuba"
"43","CYP","West Asia","Cyprus"
"44","CZE","Europe","Czech Republic"
"45","DEU","Europe","Germany"
"46","DJI","Africa","Djibouti"
"47","DNK","Europe","Denmark"
"48","DOM","Latin America","Dominican Republic"
"49","DZA","Africa","Algeria"
"50","ECU","Latin America","Ecuador"
"51","EGY","Africa","Egypt"
"52","ERI","Africa","Eritrea"
"53","ESH","Africa","Western Sahara"
"54","ESP","Europe","Spain"
"55","EST","Fmr Soviet Union","Estonia"
"56","ETH","Africa","Ethiopia"
"57","FIN","Europe","Finland"
"58","FJI","Oceania","Fiji"
"59","FRA","Europe","France"
"60","FSM","Oceania","Micronesia"
"61","GAB","Africa","Gabon"
"62","GBR","Europe","United Kingdom"
"63","GEO","Fmr Soviet Union","Georgia"
"64","GHA","Africa","Ghana"
"65","GIN","Africa","Guinea"
"66","GLP","Latin America","Guadeloupe"
"67","GMB","Africa","Gambia"
"68","GNB","Africa","Guinea-Bissau"
"69","GNQ","Africa","Equatorial Guinea"
"70","GRC","Europe","Greece"
"71","GRD","Latin America","Grenada"
"72","GTM","Latin America","Guatemala"
"73","GUF","Latin America","French Guiana"
"74","GUM","Oceania","Guam"
"75","GUY","Latin America","Guyana"
"76","HKG","East Asia","Hong Kong"
"77","HND","Latin America","Honduras"
"78","HRV","Europe","Croatia"
"79","HTI","Latin America","Haiti"
"80","HUN","Europe","Hungary"
"81","IDN","South-East Asia","Indonesia"
"82","IND","South Asia","India"
"83","IRL","Europe","Ireland"
"84","IRN","South Asia","Iran"
"85","IRQ","West Asia","Iraq"
"86","ISL","Europe","Iceland"
"87","ISR","West Asia","Israel"
"88","ITA","Europe","Italy"
"89","JAM","Latin America","Jamaica"
"90","JOR","West Asia","Jordan"
"91","JPN","East Asia","Japan"
"92","KAZ","Fmr Soviet Union","Kazakhstan"
"93","KEN","Africa","Kenya"
"94","KGZ","Fmr Soviet Union","Kyrgyzstan"
"95","KHM","South-East Asia","Cambodia"
"96","KOR","East Asia","South Korea"
"97","KWT","West Asia","Kuwait"
"98","LAO","South-East Asia","Laos"
"99","LBN","West Asia","Lebanon"
"100","LBR","Africa","Liberia"
"101","LBY","Africa","Libya"
"102","LCA","Latin America","Saint Lucia"
"103","LKA","South Asia","Sri Lanka"
"104","LSO","Africa","Lesotho"
"105","LTU","Fmr Soviet Union","Lithuania"
"106","LUX","Europe","Luxembourg"
"107","LVA","Fmr Soviet Union","Latvia"
"108","MAC","East Asia","Macao"
"109","MAR","Africa","Morocco"
"110","MDA","Fmr Soviet Union","Moldova"
"111","MDG","Africa","Madagascar"
"112","MDV","South Asia","Maldives"
"113","MEX","Latin America","Mexico"
"114","MKD","Europe","Macedonia"
"115","MLI","Africa","Mali"
"116","MLT","Europe","Malta"
"117","MMR","South-East Asia","Myanmar"
"118","MNE","Europe","Montenegro"
"119","MNG","East Asia","Mongolia"
"120","MOZ","Africa","Mozambique"
"121","MRT","Africa","Mauritania"
"122","MTQ","Latin America","Martinique"
"123","MUS","Africa","Mauritius"
"124","MWI","Africa","Malawi"
"125","MYS","South-East Asia","Malaysia"
"126","MYT","Africa","Mayotte"
"127","NAM","Africa","Namibia"
"128","NCL","Oceania","New Caledonia"
"129","NER","Africa","Niger"
"130","NGA","Africa","Nigeria"
"131","NIC","Latin America","Nicaragua"
"132","NLD","Europe","Netherlands"
"133","NOR","Europe","Norway"
"134","NPL","South Asia","Nepal"
"135","NZL","Oceania","New Zealand"
"136","OMN","West Asia","Oman"
"137","PAK","South Asia","Pakistan"
"138","PAN","Latin America","Panama"
"139","PER","Latin America","Peru"
"140","PHL","South-East Asia","Philippines"
"141","PNG","Oceania","Papua New Guinea"
"142","POL","Europe","Poland"
"143","PRI","Latin America","Puerto Rico"
"144","PRK","East Asia","North Korea"
"145","PRT","Europe","Portugal"
"146","PRY","Latin America","Paraguay"
"147","PSE","West Asia","Palestine"
"148","PYF","Oceania","French Polynesia"
"149","QAT","West Asia","Qatar"
"150","REU","Africa","Reunion"
"151","ROU","Europe","Romania"
"152","RUS","Fmr Soviet Union","Russia"
"153","RWA","Africa","Rwanda"
"154","SAU","West Asia","Saudi Arabia"
"155","SDN","Africa","Sudan"
"156","SEN","Africa","Senegal"
"157","SGP","South-East Asia","Singapore"
"158","SLB","Oceania","Solomon Islands"
"159","SLE","Africa","Sierra Leone"
"160","SLV","Latin America","El Salvador"
"161","SOM","Africa","Somalia"
"162","SRB","Europe","Serbia"
"163","SSD","Africa","South Sudan"
"164","STP","Africa","Sao Tome & Principe"
"165","SUR","Latin America","Suriname"
"166","SVK","Europe","Slovakia"
"167","SVN","Europe","Slovenia"
"168","SWE","Europe","Sweden"
"169","SWZ","Africa","Swaziland"
"170","SYR","West Asia","Syria"
"171","TCD","Africa","Chad"
"172","TGO","Africa","Togo"
"173","THA","South-East Asia","Thailand"
"174","TJK","Fmr Soviet Union","Tajikistan"
"175","TKM","Fmr Soviet Union","Turkmenistan"
"176","TLS","South-East Asia","Timor-Leste"
"177","TON","Oceania","Tonga"
"178","TTO","Latin America","Trinidad & Tobago"
"179","TUN","Africa","Tunisia"
"180","TUR","West Asia","Turkey"
"181","TZA","Africa","Tanzania"
"182","UGA","Africa","Uganda"
"183","UKR","Fmr Soviet Union","Ukraine"
"184","URY","Latin America","Uruguay"
"185","USA","North America","United States"
"186","UZB","Fmr Soviet Union","Uzbekistan"
"187","VCT","Latin America","Saint Vincent & Grenadines"
"188","VEN","Latin America","Venezuela"
"189","VIR","Latin America","Virgin Islands"
"190","VNM","South-East Asia","Vietnam"
"191","VUT","Oceania","Vanuatu"
"192","WSM","Oceania","Samoa"
"193","YEM","West Asia","Yemen"
"194","ZAF","Africa","South Africa"
"195","ZMB","Africa","Zambia"
"196","ZWE","Africa","Zimbabwe"
